seed,method,weights,fdp,power,nsel,test_positive_rate,cal_positive_rate,mean_cal_weight,max_cal_weight
268,WBH,ignore shift,0.08031088082901554,0.9125964010282777,386,0.778,0.36875,1.0,1.0
268,WCS.hete,ignore shift,0.08031088082901554,0.9125964010282777,386,0.778,0.36875,1.0,1.0
268,WCS.homo,ignore shift,0.08031088082901554,0.9125964010282777,386,0.778,0.36875,1.0,1.0
268,WCS.dtm,ignore shift,0.0,0.0,0,0.778,0.36875,1.0,1.0
268,WBH,clip weights at 3,0.04075235109717868,0.7866323907455013,319,0.778,0.36875,0.7568498468213497,3.0
268,WCS.hete,clip weights at 3,0.04075235109717868,0.7866323907455013,319,0.778,0.36875,0.7568498468213497,3.0
268,WCS.homo,clip weights at 3,0.04075235109717868,0.7866323907455013,319,0.778,0.36875,0.7568498468213497,3.0
268,WCS.dtm,clip weights at 3,0.0,0.0,0,0.778,0.36875,0.7568498468213497,3.0
269,WBH,oracle weights,0.059880239520958084,0.7889447236180904,334,0.796,0.34625,0.9999766249125362,36.77198354956095
269,WCS.hete,oracle weights,0.06325301204819277,0.7814070351758794,332,0.796,0.34625,0.9999766249125362,36.77198354956095
269,WCS.homo,oracle weights,0.0626865671641791,0.7889447236180904,335,0.796,0.34625,0.9999766249125362,36.77198354956095
269,WCS.dtm,oracle weights,0.0,0.0,0,0.796,0.34625,0.9999766249125362,36.77198354956095
269,WBH,ignore shift,0.09443099273607748,0.9396984924623115,413,0.796,0.34625,1.0,1.0
269,WCS.hete,ignore shift,0.09443099273607748,0.9396984924623115,413,0.796,0.34625,1.0,1.0
269,WCS.homo,ignore shift,0.09443099273607748,0.9396984924623115,413,0.796,0.34625,1.0,1.0
269,WCS.dtm,ignore shift,0.0,0.0,0,0.796,0.34625,1.0,1.0
269,WBH,clip weights at 3,0.046052631578947366,0.7286432160804021,304,0.796,0.34625,0.7060288727761197,3.0
269,WCS.hete,clip weights at 3,0.045454545454545456,0.7386934673366834,308,0.796,0.34625,0.7060288727761197,3.0
269,WCS.homo,clip weights at 3,0.0462046204620462,0.7261306532663316,303,0.796,0.34625,0.7060288727761197,3.0
269,WCS.dtm,clip weights at 3,0.0,0.0,0,0.796,0.34625,0.7060288727761197,3.0
270,WBH,oracle weights,0.125,0.9285714285714286,416,0.784,0.3875,1.102794415355867,51.62745790960447
270,WCS.hete,oracle weights,0.12410501193317422,0.9362244897959183,419,0.784,0.3875,1.102794415355867,51.62745790960447
270,WCS.homo,oracle weights,0.12440191387559808,0.9336734693877551,418,0.784,0.3875,1.102794415355867,51.62745790960447
270,WCS.dtm,oracle weights,0.0,0.0,0,0.784,0.3875,1.102794415355867,51.62745790960447
270,WBH,ignore shift,0.13053613053613053,0.951530612244898,429,0.784,0.3875,1.0,1.0
270,WCS.hete,ignore shift,0.13053613053613053,0.951530612244898,429,0.784,0.3875,1.0,1.0
270,WCS.homo,ignore shift,0.13053613053613053,0.951530612244898,429,0.784,0.3875,1.0,1.0
270,WCS.dtm,ignore shift,0.0,0.0,0,0.784,0.3875,1.0,1.0
270,WBH,clip weights at 3,0.09259259259259259,0.875,378,0.784,0.3875,0.7353550169358628,3.0
270,WCS.hete,clip weights at 3,0.09259259259259259,0.875,378,0.784,0.3875,0.7353550169358628,3.0
270,WCS.homo,clip weights at 3,0.09234828496042216,0.8775510204081632,379,0.784,0.3875,0.7353550169358628,3.0
270,WCS.dtm,clip weights at 3,0.0,0.0,0,0.784,0.3875,0.7353550169358628,3.0
271,WBH,oracle weights,0.0873015873015873,0.8539603960396039,378,0.808,0.3575,0.9472953234732016,40.6921331508007
271,WCS.hete,oracle weights,0.08333333333333333,0.7896039603960396,348,0.808,0.3575,0.9472953234732016,40.6921331508007
271,WCS.homo,oracle weights,0.08616187989556136,0.8663366336633663,383,0.808,0.3575,0.9472953234732016,40.6921331508007
271,WCS.dtm,oracle weights,0.0,0.0,0,0.808,0.3575,0.9472953234732016,40.6921331508007
271,WBH,ignore shift,0.1011764705882353,0.9455445544554455,425,0.808,0.3575,1.0,1.0
271,WCS.hete,ignore shift,0.1011764705882353,0.9455445544554455,425,0.808,0.3575,1.0,1.0
271,WCS.homo,ignore shift,0.1011764705882353,0.9455445544554455,425,0.808,0.3575,1.0,1.0
271,WCS.dtm,ignore shift,0.0,0.0,0,0.808,0.3575,1.0,1.0
271,WBH,clip weights at 3,0.06845238095238096,0.7747524752475248,336,0.808,0.3575,0.6801312970538952,3.0
271,WCS.hete,clip weights at 3,0.06865671641791045,0.7722772277227723,335,0.808,0.3575,0.6801312970538952,3.0
271,WCS.homo,clip weights at 3,0.06845238095238096,0.7747524752475248,336,0.808,0.3575,0.6801312970538952,3.0
271,WCS.dtm,clip weights at 3,0.0,0.0,0,0.808,0.3575,0.6801312970538952,3.0
272,WBH,oracle weights,0.10880829015544041,0.8888888888888888,386,0.774,0.3925,1.1502124297893461,50.212665661467746
272,WCS.hete,oracle weights,0.10443864229765012,0.8863049095607235,383,0.774,0.3925,1.1502124297893461,50.212665661467746
272,WCS.homo,oracle weights,0.10880829015544041,0.8888888888888888,386,0.774,0.3925,1.1502124297893461,50.212665661467746
272,WCS.dtm,oracle weights,0.0,0.0,0,0.774,0.3925,1.1502124297893461,50.212665661467746
272,WBH,ignore shift,0.13443396226415094,0.9483204134366925,424,0.774,0.3925,1.0,1.0
272,WCS.hete,ignore shift,0.13443396226415094,0.9483204134366925,424,0.774,0.3925,1.0,1.0
272,WCS.homo,ignore shift,0.13443396226415094,0.9483204134366925,424,0.774,0.3925,1.0,1.0
272,WCS.dtm,ignore shift,0.0,0.0,0,0.774,0.3925,1.0,1.0
272,WBH,clip weights at 3,0.07717041800643087,0.7416020671834626,311,0.774,0.3925,0.7273382015886379,3.0
272,WCS.hete,clip weights at 3,0.07717041800643087,0.7416020671834626,311,0.774,0.3925,0.7273382015886379,3.0
272,WCS.homo,clip weights at 3,0.07717041800643087,0.7416020671834626,311,0.774,0.3925,0.7273382015886379,3.0
272,WCS.dtm,clip weights at 3,0.0,0.0,0,0.774,0.3925,0.7273382015886379,3.0
273,WBH,oracle weights,0.0658682634730539,0.7979539641943734,334,0.782,0.36,1.0101891806835466,24.550923204992824
273,WCS.hete,oracle weights,0.07046979865771812,0.7084398976982097,298,0.782,0.36,1.0101891806835466,24.550923204992824
273,WCS.homo,oracle weights,0.0658682634730539,0.7979539641943734,334,0.782,0.36,1.0101891806835466,24.550923204992824
273,WCS.dtm,oracle weights,0.0,0.0,0,0.782,0.36,1.0101891806835466,24.550923204992824
273,WBH,ignore shift,0.14219114219114218,0.9411764705882353,429,0.782,0.36,1.0,1.0
273,WCS.hete,ignore shift,0.14219114219114218,0.9411764705882353,429,0.782,0.36,1.0,1.0
273,WCS.homo,ignore shift,0.14186046511627906,0.9437340153452686,430,0.782,0.36,1.0,1.0
273,WCS.dtm,ignore shift,0.0,0.0,0,0.782,0.36,1.0,1.0
273,WBH,clip weights at 3,0.06470588235294118,0.8132992327365729,340,0.782,0.36,0.7004585399341272,3.0
273,WCS.hete,clip weights at 3,0.06470588235294118,0.8132992327365729,340,0.782,0.36,0.7004585399341272,3.0
273,WCS.homo,clip weights at 3,0.06470588235294118,0.8132992327365729,340,0.782,0.36,0.7004585399341272,3.0
273,WCS.dtm,clip weights at 3,0.0,0.0,0,0.782,0.36,0.7004585399341272,3.0
274,WBH,oracle weights,0.056105610561056105,0.7044334975369458,303,0.812,0.34375,0.8954487067240557,37.517545973375924
274,WCS.hete,oracle weights,0.05660377358490566,0.6157635467980296,265,0.812,0.34375,0.8954487067240557,37.517545973375924
274,WCS.homo,oracle weights,0.05956112852664577,0.7389162561576355,319,0.812,0.34375,0.8954487067240557,37.517545973375924
274,WCS.dtm,oracle weights,0.0,0.0,0,0.812,0.34375,0.8954487067240557,37.517545973375924
274,WBH,ignore shift,0.10514018691588785,0.9433497536945813,428,0.812,0.34375,1.0,1.0
274,WCS.hete,ignore shift,0.10514018691588785,0.9433497536945813,428,0.812,0.34375,1.0,1.0
274,WCS.homo,ignore shift,0.10514018691588785,0.9433497536945813,428,0.812,0.34375,1.0,1.0
274,WCS.dtm,ignore shift,0.0,0.0,0,0.812,0.34375,1.0,1.0
274,WBH,clip weights at 3,0.054140127388535034,0.7315270935960592,314,0.812,0.34375,0.6838920564557509,3.0
274,WCS.hete,clip weights at 3,0.054140127388535034,0.7315270935960592,314,0.812,0.34375,0.6838920564557509,3.0
274,WCS.homo,clip weights at 3,0.054140127388535034,0.7315270935960592,314,0.812,0.34375,0.6838920564557509,3.0
274,WCS.dtm,clip weights at 3,0.0,0.0,0,0.812,0.34375,0.6838920564557509,3.0
275,WBH,oracle weights,0.10526315789473684,0.9211822660098522,418,0.812,0.3675,1.0264409375345867,48.656230222946384
275,WCS.hete,oracle weights,0.08391608391608392,0.3226600985221675,143,0.812,0.3675,1.0264409375345867,48.656230222946384
275,WCS.homo,oracle weights,0.10551558752997602,0.9187192118226601,417,0.812,0.3675,1.0264409375345867,48.656230222946384
275,WCS.dtm,oracle weights,0.0,0.0,0,0.812,0.3675,1.0264409375345867,48.656230222946384
275,WBH,ignore shift,0.1175115207373272,0.9433497536945813,434,0.812,0.3675,1.0,1.0
275,WCS.hete,ignore shift,0.1175115207373272,0.9433497536945813,434,0.812,0.3675,1.0,1.0
275,WCS.homo,ignore shift,0.1175115207373272,0.9433497536945813,434,0.812,0.3675,1.0,1.0
275,WCS.dtm,ignore shift,0.0,0.0,0,0.812,0.3675,1.0,1.0
275,WBH,clip weights at 3,0.0925,0.8940886699507389,400,0.812,0.3675,0.7163728746758815,3.0
275,WCS.hete,clip weights at 3,0.0925,0.8940886699507389,400,0.812,0.3675,0.7163728746758815,3.0
275,WCS.homo,clip weights at 3,0.0925,0.8940886699507389,400,0.812,0.3675,0.7163728746758815,3.0
275,WCS.dtm,clip weights at 3,0.0,0.0,0,0.812,0.3675,0.7163728746758815,3.0
276,WBH,oracle weights,0.08808290155440414,0.8669950738916257,386,0.812,0.3275,0.9392751144486533,29.41253156857841
276,WCS.hete,oracle weights,0.09063444108761329,0.7413793103448276,331,0.812,0.3275,0.9392751144486533,29.41253156857841
276,WCS.homo,oracle weights,0.09020618556701031,0.8694581280788177,388,0.812,0.3275,0.9392751144486533,29.41253156857841
276,WCS.dtm,oracle weights,0.0,0.0,0,0.812,0.3275,0.9392751144486533,29.41253156857841
276,WBH,ignore shift,0.11448598130841121,0.9334975369458128,428,0.812,0.3275,1.0,1.0
276,WCS.hete,ignore shift,0.11448598130841121,0.9334975369458128,428,0.812,0.3275,1.0,1.0
276,WCS.homo,ignore shift,0.11448598130841121,0.9334975369458128,428,0.812,0.3275,1.0,1.0
276,WCS.dtm,ignore shift,0.0,0.0,0,0.812,0.3275,1.0,1.0
276,WBH,clip weights at 3,0.07526881720430108,0.8472906403940886,372,0.812,0.3275,0.6706556408301624,3.0
276,WCS.hete,clip weights at 3,0.07547169811320754,0.8448275862068966,371,0.812,0.3275,0.6706556408301624,3.0
276,WCS.homo,clip weights at 3,0.07547169811320754,0.8448275862068966,371,0.812,0.3275,0.6706556408301624,3.0
276,WCS.dtm,clip weights at 3,0.0,0.0,0,0.812,0.3275,0.6706556408301624,3.0
277,WBH,oracle weights,0.11055276381909548,0.9030612244897959,398,0.784,0.36375,0.9688855992024261,27.33162820764177
